budget_year,account_type,department,fund_code,account_category,amount,fund_type
2017,Expense,Public Works & Utilities,2700,,91.2,100
2017,Expense,Park,2599,,110,100
2017,Expense,Park,2917,,25,100
2017,Expense,Public Works & Utilities,2806,,25,100
2017,Expense,Public Works & Utilities,2904,,1,100
2017,Expense,Public Works & Utilities,2906,,1,100
2017,Expense,Public Works & Utilities,2917,,18,100
2017,Expense,Public Works & Utilities,3103,,7.5,100
2017,Expense,Public Works & Utilities,3405,,18.57,100
2017,Expense,Public Works & Utilities,3499,,1,100
2017,Expense,Public Works & Utilities,3803,,3,100
2017,Expense,Public Works & Utilities,3899,,15,100
2017,Expense,Public Works & Utilities,3904,,1,100
2017,Expense,Public Works & Utilities,1100,,3257.95,100
2017,Expense,Public Works & Utilities,1101,,28.2,100
2017,Expense,Public Works & Utilities,1190,,18.89,100
2017,Expense,Public Works & Utilities,1208,,12,100
2017,Expense,Public Works & Utilities,1400,,251.39,100
2017,Expense,Public Works & Utilities,1401,,404.2,100
2017,Expense,Park,2207,,3.5,100
2017,Expense,Park,2215,,11.16,100
2017,Expense,Park,2302,,2.5,100
2017,Expense,Park,2400,,31.37,100
2017,Expense,Park,2401,,5.3,100
2017,Expense,Park,2500,,3.5,100
2017,Expense,Park,2516,,5,100
2017,Expense,Park,2519,,3.15,100
2017,Expense,Park,2543,,9.6,100
2017,Expense,Park,2599,,16.4,100
2017,Expense,Park,2600,,11.55,100
2017,Expense,Park,2700,,141.6,100
2017,Expense,Park,2702,,6.15,100
2017,Expense,Park,2999,,887.66,100
2017,Expense,Transit,3999,,30,520
2017,Expense,Public Works & Utilities,2101,,140.58,100
2017,Expense,Information Tech/Info Services,1405,,1245.87,600
2017,Expense,Metro Area Bldg & Construction,2900,,550.49,235
2017,Expense,Airport,2299,,7.5,500
2017,Revenue,,7156,Licenses,72.65,100
2017,Expense,Park,2706,,0.45,100
2017,Expense,Park,2799,,9,100
2017,Expense,Park,2916,,0.5,100
2017,Expense,Park,2917,,6.5,100
2017,Expense,Park,3103,,5,100
2017,Expense,Public Works & Utilities,1406,,2.32,100
2017,Expense,Public Works & Utilities,2200,,1.14,100
2017,Expense,Park,2102,,44.79,100
2017,Expense,Park,2700,,45.6,100
2017,Expense,Park,3200,,7,100
2017,Expense,Park,3902,,0.54,100
2017,Expense,Park,3999,,14.93,100
2017,Expense,Park,5400,,12.3,100
2017,Expense,Park,2100,,2.67,100
2017,Expense,Park,2104,,58.96,100
2017,Expense,Park,2400,,21.76,100
2017,Expense,Park,1200,,181.3,100
2017,Expense,Park,1400,,13.87,100
2017,Expense,Park,1403,,3.94,100
2017,Expense,Park,1404,,0.36,100
2017,Expense,Park,2104,,136.54,100
2017,Expense,Park,2215,,3.72,100
2017,Expense,Park,2400,,58.35,100
2017,Expense,Park,2599,,8.53,100
2017,Expense,Park,2917,,1.6,100
2017,Expense,Park,3103,,0.53,100
2017,Expense,Park,3299,,6.93,100
2017,Expense,Park,3301,,78.94,100
2017,Expense,Park,3299,,40,100
2017,Expense,Park,3599,,10,100
2017,Expense,Park,3816,,7.5,100
2017,Expense,Park,3903,,20,100
2017,Expense,Park,3999,,100,100
2017,Expense,Park,1200,,545.69,100
2017,Expense,Park,1400,,41.75,100
2017,Expense,Park,1403,,11.87,100
2017,Expense,Park,1404,,1.09,100
2017,Expense,Park,2207,,3,100
2017,Expense,Park,2399,,253.14,100
2017,Expense,Park,2500,,31,100
2017,Expense,Public Works & Utilities,2999,,7,100
