dept_title,oca_title,org_cost_acct,appropriation_amt,cur_doc_no,cur_doc_no_sfx,obj_lvl_3,obj_lvl_3_title,ESRI_OID
City Council,City Council Members,010009,"100,651.00",BU740043,52,1405,Group health insurance,1
City Council,City Council Members,010009,"1,833.00",BU740043,53,1406,Group life insurance,2
City Council,City Council Members,010009,"16,217.00",BU740043,54,1499,Employee benefits in aggregate,3
City Council,City Council Members,010009,"2,736.00",BU740043,55,2200,PBX - line charges,4
City Council,City Council Members,010009,"5,775.00",BU740043,56,2201,PBX - instrument charges,5
City Council,City Council Members,010009,"1,000.00",BU740043,57,2203,Long distance service,6
City Council,City Council Members,010009,"2,500.00",BU740043,58,2207,Postage - regular,7
City Council,City Council Members,010009,500.00,BU740043,59,2210,Shipping and freight,8
City Council,City Council Members,010009,500.00,BU740043,60,2211,Express mail,9
City Council,City Council Members,010009,"1,680.00",BU740043,61,2214,Air cards - mobile,10
City Council,City Council Members,010009,588.00,BU740043,62,2216,Voice mail,11
City Council,City Council Members,010009,"19,000.00",BU740043,63,2301,Meals and lodging allowance,12
City Council,City Council Members,010009,"5,000.00",BU740043,64,2302,Out of town registration fees,13
City Council,City Council Members,010009,"8,500.00",BU740043,65,2308,Transportation - out of town,14
City Council,City Council Members,010009,"2,000.00",BU740043,66,2599,Other professional services,15
City Council,City Council Members,010009,"34,520.00",BU740043,67,2600,Data center charges,16
City Council,City Council Members,010009,400.00,BU740043,68,2701,Motor pool-unscheduled charges,17
City Council,City Council Members,010009,300.00,BU740043,69,2905,Periodicals/Subscriptions,18
City Council,City Council Members,010009,200.00,BU740043,70,2906,Membership dues,19
City Council,City Council Members,010009,"2,656.00",BU740043,71,2917,Printing and copying,20
City Council,City Council Members,010009,"4,000.00",BU740043,72,2999,Other contractuals,21
City Council,City Council Members,010009,"4,000.00",BU740043,73,3103,Office supplies,22
City Council,City Council Members,010009,"2,000.00",BU740043,74,3199,Other office supplies,23
City Council,City Council Members,010009,"7,350.00",BU740043,75,3903,Food supplies,24
City Council,City Council Members,010009,"458,267.00",BU740043,44,1100,Bi-weekly wages,25
City Council,City Council Members,010009,"2,152.00",BU740043,45,1190,Accrual,26
City Council,City Council Members,010009,"16,800.00",BU740043,46,1205,Auto allowance,27
City Council,City Council Members,010009,"4,800.00",BU740043,47,1208,Cellular phone allowance,28
City Council,City Council Members,010009,"35,103.00",BU740043,48,1400,FICA,29
City Council,City Council Members,010009,"31,820.00",BU740043,49,1401,Employee pension,30
City Council,City Council Members,010009,"2,891.00",BU740043,50,1403,Workers compensation,31
City Council,City Council Members,010009,918.00,BU740043,51,1404,Unemployment compensation,32
City Council,City Council Members,010009,"14,000.00",BU740043,76,3999,Other commodities,33
City Council,City Council Members,010009,"200,000.00",BU740043,77,5300,Contingency,34
City Council,Community Marketing,010025,500.00,BU740043,78,2207,Postage - regular,35
City Council,Community Marketing,010025,200.00,BU740043,79,2211,Express mail,36
City Council,Community Marketing,010025,"1,190.00",BU740043,80,2906,Membership dues,37
City Council,Community Marketing,010025,810.00,BU740043,81,2917,Printing and copying,38
City Council,Community Marketing,010025,"10,000.00",BU740043,82,3903,Food supplies,39
City Council,Community Marketing,010025,"3,000.00",BU740043,83,3999,Other commodities,40
City Manager,City Manager Administration,020008,"690,903.00",BU740043,84,1100,Bi-weekly wages,41
City Manager,City Manager Administration,020008,"3,888.00",BU740043,85,1101,Longevity,42
City Manager,City Manager Administration,020008,"3,000.00",BU740043,86,1190,Accrual,43
City Manager,City Manager Administration,020008,"11,400.00",BU740043,87,1205,Auto allowance,44
City Manager,City Manager Administration,020008,"1,200.00",BU740043,88,1208,Cellular phone allowance,45
City Manager,City Manager Administration,020008,600.00,BU740043,89,1236,CM Wireless Communications,46
City Manager,City Manager Administration,020008,"41,784.00",BU740043,90,1400,FICA,47
City Manager,City Manager Administration,020008,"58,241.00",BU740043,91,1401,Employee pension,48
City Manager,City Manager Administration,020008,"4,377.00",BU740043,92,1403,Workers compensation,49
City Manager,City Manager Administration,020008,"1,389.00",BU740046,87,1404,Unemployment compensation,50
City Manager,City Manager Administration,020008,"94,021.00",BU740046,88,1405,Group health insurance,51
City Manager,City Manager Administration,020008,"2,764.00",BU740046,89,1406,Group life insurance,52
City Manager,City Manager Administration,020008,"1,131.00",BU740046,90,1412,City paid dental (City Manager),53
City Manager,City Manager Administration,020008,"24,000.00",BU740046,91,1499,Employee benefits in aggregate,54
City Manager,City Manager Administration,020008,"2,280.00",BU740046,92,2200,PBX - line charges,55
City Manager,City Manager Administration,020008,"2,085.00",BU740046,93,2201,PBX - instrument charges,56
City Manager,City Manager Administration,020008,500.00,BU740046,94,2203,Long distance service,57
City Manager,City Manager Administration,020008,925.00,BU740046,95,2207,Postage - regular,58
City Manager,City Manager Administration,020008,840.00,BU740046,96,2214,Air cards - mobile,59
City Manager,City Manager Administration,020008,"10,950.00",BU740015,73,2301,Meals and lodging allowance,60
City Manager,City Manager Administration,020008,372.00,BU740046,97,2215,Plexar,61
City Manager,City Manager Administration,020008,420.00,BU740046,98,2216,Voice mail,62
City Manager,City Manager Administration,020008,"96,929.00",BU740085,70,9812,Reimbursed expend-interfund & interdept,63
City Manager,City Manager Administration,020008,452.00,BU740034,37,2905,Periodicals/Subscriptions,64
City Manager,City Manager Administration,020008,"4,850.00",BU740034,38,2906,Membership dues,65
City Manager,City Manager Administration,020008,"4,200.00",BU740034,39,2917,Printing and copying,66
City Manager,City Manager Administration,020008,120.00,BU740034,40,2999,Other contractuals,67
City Manager,City Manager Administration,020008,"2,400.00",BU740034,41,3103,Office supplies,68
City Manager,City Manager Administration,020008,"3,100.00",BU740034,42,3804,"Data processing equipment  < $5,000 each",69
City Manager,City Manager Administration,020008,"3,000.00",BU740034,43,3903,Food supplies,70
City Manager,City Manager Administration,020008,"5,830.00",BU740031,86,2302,Out of town registration fees,71
City Manager,City Manager Administration,020008,350.00,BU740031,87,2303,In town registration fees,72
City Manager,City Manager Administration,020008,"3,780.00",BU740031,88,2308,Transportation - out of town,73
City Manager,City Manager Administration,020008,750.00,BU740031,89,2599,Other professional services,74
City Manager,City Manager Administration,020008,"21,254.00",BU740031,90,2600,Data center charges,75
City Manager,City Manager Administration,020008,480.00,BU740031,91,2701,Motor pool-unscheduled charges,76
City Manager,Gen. Fund Contingency,020107,"200,000.00",BU740034,44,2999,Other contractuals,77
City Manager,Gen. Fund Contingency,020107,"50,000.00",BU740034,45,3999,Other commodities,78
City Manager,Gen. Fund Contingency,020107,"50,000.00",BU740034,46,5300,Contingency,79
City Manager,Project Management,021100,"133,651.00",BU740034,47,1100,Bi-weekly wages,80
City Manager,Project Management,021100,144.00,BU740034,48,1101,Longevity,81
City Manager,Project Management,021100,"1,100.00",BU740034,49,1190,Accrual,82
City Manager,Project Management,021100,"10,235.00",BU740034,50,1400,FICA,83
City Manager,Project Management,021100,"16,457.00",BU740034,51,1401,Employee pension,84
City Manager,Project Management,021100,843.00,BU740034,52,1403,Workers compensation,85
City Manager,Project Management,021100,268.00,BU740034,53,1404,Unemployment compensation,86
City Manager,Project Management,021100,"21,676.00",BU740034,54,1405,Group health insurance,87
City Manager,Project Management,021100,535.00,BU740034,55,1406,Group life insurance,88
City Manager,Project Management,021100,342.00,BU740034,56,2200,PBX - line charges,89
City Manager,Project Management,021100,750.00,BU740034,57,2201,PBX - instrument charges,90
City Manager,Project Management,021100,120.00,BU740034,58,2203,Long distance service,91
City Manager,Project Management,021100,75.00,BU740034,59,2207,Postage - regular,92
City Manager,Project Management,021100,168.00,BU740034,60,2216,Voice mail,93
City Manager,Project Management,021100,500.00,BU740034,61,2301,Meals and lodging allowance,94
City Manager,Project Management,021100,500.00,BU740034,62,2302,Out of town registration fees,95
City Manager,Project Management,021100,500.00,BU740034,63,2308,Transportation - out of town,96
City Manager,Project Management,021100,50.00,BU740034,64,2399,Other training/transportation,97
City Manager,Project Management,021100,"8,976.00",BU740034,65,2600,Data center charges,98
City Manager,Project Management,021100,"2,040.00",BU740034,66,2917,Printing and copying,99
City Manager,Project Management,021100,"1,200.00",BU740034,67,3103,Office supplies,100
City Manager,Parking Fund Administration,023800,"67,980.00",BU740034,68,1100,Bi-weekly wages,101
City Manager,Parking Fund Administration,023800,780.00,BU740034,69,1101,Longevity,102
City Manager,Parking Fund Administration,023800,"5,260.00",BU740034,70,1400,FICA,103
City Manager,Parking Fund Administration,023800,"8,457.00",BU740034,71,1401,Employee pension,104
City Manager,Parking Fund Administration,023800,619.00,BU740034,72,1403,Workers compensation,105
City Manager,Parking Fund Administration,023800,138.00,BU740034,73,1404,Unemployment compensation,106
City Manager,Parking Fund Administration,023800,"15,480.00",BU740034,74,1405,Group health insurance,107
City Manager,Parking Fund Administration,023800,272.00,BU740034,75,1406,Group life insurance,108
City Manager,Parking Fund Administration,023800,114.00,BU740034,76,2200,PBX - line charges,109
City Manager,Parking Fund Administration,023800,450.00,BU740034,77,2201,PBX - instrument charges,110
City Manager,Parking Fund Administration,023800,84.00,BU740034,78,2216,Voice mail,111
City Manager,Parking Fund Administration,023800,"12,691.00",BU740034,79,2600,Data center charges,112
City Manager,Parking Fund Administration,023800,500.00,BU740034,80,2701,Motor pool-unscheduled charges,113
City Manager,Parking Fund Administration,023800,"19,247.00",BU740034,81,2900,City administrative charges,114
City Manager,Parking Fund Administration,023800,312.00,BU740034,82,2902,Advertising,115
City Manager,Parking Fund Administration,023800,"1,025.00",BU740034,83,2906,Membership dues,116
City Manager,Parking Fund Administration,023800,"1,200.00",BU740034,84,2917,Printing and copying,117
City Manager,Parking Fund Administration,023800,600.00,BU740034,85,3103,Office supplies,118
City Manager,Parking Fund Administration,023800,"1,200,000.00",BU740034,86,5333,Miscellaneous and sundry,119
City Manager,Intrust Bank Arena Parking Activities,023801,"3,980.00",BU740034,87,2100,Electricity,120
City Manager,Intrust Bank Arena Parking Activities,023801,159.00,BU740034,88,2104,Water,121
City Manager,Intrust Bank Arena Parking Activities,023801,300.00,BU740034,89,2507,Audits,122
City Manager,Intrust Bank Arena Parking Activities,023801,"100,000.00",BU740034,90,2540,Management Fees,123
City Manager,Intrust Bank Arena Parking Activities,023801,"105,000.00",BU740034,91,2801,Lease/Rent-Buildings or grounds,124
City Manager,Intrust Bank Arena Parking Activities,023801,"317,750.00",BU740085,71,9054,Surface lots - non metered,125
City Manager,Intrust Bank Arena Parking Activities,023801,"5,000.00",BU740039,19,3800,"Non-capital shop equipment < $5,000 each",126
City Manager,WaterWalk Parking Complex,023802,"24,000.00",BU740039,20,2100,Electricity,127
City Manager,WaterWalk Parking Complex,023802,400.00,BU740039,21,2101,Gas-ONEOK Kansas Gas Service,128
City Manager,WaterWalk Parking Complex,023802,"8,900.00",BU740039,22,2104,Water,129
City Manager,WaterWalk Parking Complex,023802,552.00,BU740039,23,2204,Local services,130
City Manager,WaterWalk Parking Complex,023802,"29,676.00",BU740039,24,2400,Building and contents insurance,131
City Manager,WaterWalk Parking Complex,023802,"5,000.00",BU740039,25,2599,Other professional services,132
City Manager,WaterWalk Parking Complex,023802,"1,944.00",BU740039,26,2802,Maintenance - grounds,133
City Manager,WaterWalk Parking Complex,023802,"5,940.00",BU740039,27,2803,Maintenance - buildings,134
City Manager,WaterWalk Parking Complex,023802,"11,100.00",BU740039,28,2805,Janitorial services,135
City Manager,WaterWalk Parking Complex,023802,"12,000.00",BU740039,29,3700,Building parts and materials,136
City Manager,WaterWalk Parking Complex,023802,"80,077.00",BU740085,72,9811,Reimbursements,137
City Manager,Block 1 Garage Ambassador 360 E William,023803,"60,000.00",BU740085,73,9053,Parking structures - non metered,138
City Manager,Block 1 Garage Ambassador 360 E William,023803,"14,545.00",BU740085,74,9610,Parking,139
City Manager,Block 1 Garage Ambassador 360 E William,023803,"75,000.00",BU740085,75,9811,Reimbursements,140
City Manager,Block 1 Garage Ambassador 360 E William,023803,"24,000.00",BU740039,30,2100,Electricity,141
City Manager,Block 1 Garage Ambassador 360 E William,023803,"1,320.00",BU740039,31,2104,Water,142
City Manager,Block 1 Garage Ambassador 360 E William,023803,552.00,BU740039,32,2204,Local services,143
City Manager,Block 1 Garage Ambassador 360 E William,023803,"8,488.00",BU740039,33,2400,Building and contents insurance,144
City Manager,Block 1 Garage Ambassador 360 E William,023803,"30,000.00",BU740039,34,2505,Contractors,145
City Manager,Block 1 Garage Ambassador 360 E William,023803,"65,800.00",BU740039,35,2540,Management Fees,146
City Manager,Block 1 Garage Ambassador 360 E William,023803,324.00,BU740039,36,2806,Security/Fire services,147
City Manager,Block 1 Garage Ambassador 360 E William,023803,40.00,BU740039,37,2916,Property taxes ,148
City Manager,Block 1 Garage Ambassador 360 E William,023803,"12,000.00",BU740039,38,3702,Building repairs and equipment,149
City Manager,Old Town Parking District,023804,"32,000.00",BU740039,39,2100,Electricity,150
City Manager,Old Town Parking District,023804,800.00,BU740039,40,2101,Gas-ONEOK Kansas Gas Service,151
City Manager,Old Town Parking District,023804,"17,422.00",BU740039,41,2104,Water,152
City Manager,Old Town Parking District,023804,552.00,BU740039,42,2204,Local services,153
City Manager,Old Town Parking District,023804,"26,559.00",BU740039,43,2400,Building and contents insurance,154
City Manager,Old Town Parking District,023804,"39,800.00",BU740039,44,2599,Other professional services,155
City Manager,Old Town Parking District,023804,"12,000.00",BU740039,45,2802,Maintenance - grounds,156
City Manager,Old Town Parking District,023804,"45,000.00",BU740039,46,2803,Maintenance - buildings,157
City Manager,Old Town Parking District,023804,"12,000.00",BU740039,47,2805,Janitorial services,158
City Manager,Old Town Parking District,023804,600.00,BU740039,48,2916,Property taxes ,159
City Manager,Old Town Parking District,023804,"13,200.00",BU740039,49,3700,Building parts and materials,160
City Manager,Old Town Parking District,023804,"340,000.00",BU740085,76,9053,Parking structures - non metered,161
City Manager,Old Town Parking District,023804,"40,000.00",BU740080,1,5100,Contributions to other funds,162
City Manager,William Street Garage,023806,"21,000.00",BU740085,77,9053,Parking structures - non metered,163
City Manager,William Street Garage,023806,"59,800.00",BU740039,50,2100,Electricity,164
City Manager,William Street Garage,023806,"1,100.00",BU740039,51,2104,Water,165
City Manager,William Street Garage,023806,276.00,BU740039,52,2204,Local services,166
City Manager,William Street Garage,023806,"1,968.00",BU740039,53,2215,Plexar,167
City Manager,William Street Garage,023806,"112,320.00",BU740039,54,2540,Management Fees,168
City Manager,William Street Garage,023806,"5,000.00",BU740039,55,2705,Outside services,169
City Manager,William Street Garage,023806,"4,734.00",BU740039,56,2803,Maintenance - buildings,170
City Manager,William Street Garage,023806,50.00,BU740039,57,2916,Property taxes ,171
City Manager,William Street Garage,023806,"5,000.00",BU740039,58,3700,Building parts and materials,172
City Manager,City Hall Parking,023807,"50,000.00",BU740039,59,2100,Electricity,173
City Manager,City Hall Parking,023807,"15,989.00",BU740039,60,2104,Water,174
City Manager,City Hall Parking,023807,228.00,BU740039,61,2200,PBX - line charges,175
City Manager,City Hall Parking,023807,300.00,BU740039,62,2201,PBX - instrument charges,176
City Manager,City Hall Parking,023807,276.00,BU740039,63,2204,Local services,177
City Manager,City Hall Parking,023807,"105,540.00",BU740039,64,2540,Management Fees,178
City Manager,City Hall Parking,023807,370.00,BU740039,65,2702,Lease/rent equipment,179
City Manager,City Hall Parking,023807,255.00,BU740039,66,2703,Maintenance - equipment,180
City Manager,City Hall Parking,023807,"12,000.00",BU740039,67,2803,Maintenance - buildings,181
City Manager,City Hall Parking,023807,"9,000.00",BU740039,68,3700,Building parts and materials,182
City Manager,City Hall Parking,023807,"38,000.00",BU740085,78,9051,Lot meters,183
City Manager,City Hall Parking,023807,"72,000.00",BU740085,79,9054,Surface lots - non metered,184
City Manager,City Hall Parking,023807,"112,000.00",BU740085,80,9056,City employees - parking garage,185
City Manager,City Hall Parking,023807,"30,000.00",BU740080,2,5100,Contributions to other funds,186
City Manager,General Surface Parking,023808,"75,000.00",BU740085,81,9050,Street meters,187
City Manager,General Surface Parking,023808,"84,000.00",BU740085,82,9051,Lot meters,188
City Manager,General Surface Parking,023808,"75,000.00",BU740085,83,9610,Parking,189
City Manager,General Surface Parking,023808,"30,000.00",BU740039,69,1100,Bi-weekly wages,190
City Manager,General Surface Parking,023808,"20,000.00",BU740039,70,1499,Employee benefits in aggregate,191
City Manager,General Surface Parking,023808,"39,360.00",BU740039,71,2540,Management Fees,192
City Manager,General Surface Parking,023808,"12,000.00",BU740039,72,2802,Maintenance - grounds,193
City Manager,General Surface Parking,023808,"6,000.00",BU740039,73,3599,Other materials,194
City Manager,Market & William Garage-215 S Market,023809,"45,000.00",BU740039,74,2100,Electricity,195
City Manager,Market & William Garage-215 S Market,023809,"1,050.00",BU740039,75,2104,Water,196
City Manager,Market & William Garage-215 S Market,023809,276.00,BU740039,76,2204,Local services,197
City Manager,Market & William Garage-215 S Market,023809,"1,836.00",BU740039,77,2215,Plexar,198
City Manager,Market & William Garage-215 S Market,023809,"17,645.00",BU740039,78,2400,Building and contents insurance,199
City Manager,Market & William Garage-215 S Market,023809,"61,680.00",BU740039,79,2540,Management Fees,200
City Manager,Market & William Garage-215 S Market,023809,"46,800.00",BU740085,84,9610,Parking,201
City Manager,Market & William Garage-215 S Market,023809,255.00,BU740002,90,2703,Maintenance - equipment,202
City Manager,Market & William Garage-215 S Market,023809,"10,000.00",BU740002,91,2803,Maintenance - buildings,203
City Manager,Market & William Garage-215 S Market,023809,"10,000.00",BU740002,92,3700,Building parts and materials,204
