OBJECTID,fund,fund_title,cur_doc_no,cur_doc_no_sfx,dept,dept_title,obj_lvl_1,obj_lvl_1_title,obj_lvl_2,obj_lvl_2_title,obj_lvl_3,obj_lvl_3_title,org_cost_acct,oca_title,appropriation_amt,account_type,fiscal_year
1001,620,Self Insurance Fund,BU740048,75,3,Department of Finance,2,Contractual Services,250,Professional Services,2506,Legal services,36202,Self Insurance Workers Comp,80840,Expense,2017
1002,620,Self Insurance Fund,BU740048,76,3,Department of Finance,2,Contractual Services,250,Professional Services,2507,Audits,36202,Self Insurance Workers Comp,7000,Expense,2017
1003,620,Self Insurance Fund,BU740048,77,3,Department of Finance,2,Contractual Services,250,Professional Services,2519,Background checks,36202,Self Insurance Workers Comp,50,Expense,2017
1004,620,Self Insurance Fund,BU740048,78,3,Department of Finance,2,Contractual Services,250,Professional Services,2599,Other professional services,36202,Self Insurance Workers Comp,96000,Expense,2017
1005,620,Self Insurance Fund,BU740048,79,3,Department of Finance,2,Contractual Services,260,Data Processing,2600,Data center charges,36202,Self Insurance Workers Comp,3847,Expense,2017
1006,620,Self Insurance Fund,BU740048,80,3,Department of Finance,2,Contractual Services,290,Other Contractuals,2900,City administrative charges,36202,Self Insurance Workers Comp,30905,Expense,2017
1007,620,Self Insurance Fund,BU740048,81,3,Department of Finance,2,Contractual Services,290,Other Contractuals,2902,Advertising,36202,Self Insurance Workers Comp,25,Expense,2017
1008,620,Self Insurance Fund,BU740048,82,3,Department of Finance,2,Contractual Services,290,Other Contractuals,2905,Periodicals/Subscriptions,36202,Self Insurance Workers Comp,425,Expense,2017
1009,100,General Fund,BU740048,83,3,Department of Finance,2,Contractual Services,290,Other Contractuals,2909,Recording costs,37416,Special Assessments,1216,Expense,2017
1010,100,General Fund,BU740048,84,3,Department of Finance,2,Contractual Services,290,Other Contractuals,2917,Printing and copying,37416,Special Assessments,3100,Expense,2017
1011,100,General Fund,BU740048,85,3,Department of Finance,3,Materials and Supplies,310,Office Supplies,3103,Office supplies,37416,Special Assessments,1100,Expense,2017
1034,600,Information Technology Fund,BU740049,8,6,Information Tech/Info Services,1,Personnel Services,140,Employee Benefits,1403,Workers compensation,60003,IT/IS Service Desk,5855,Expense,2017
1012,100,General Fund,BU740048,86,3,Department of Finance,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3805,Furniture & equipment <$5000 each,37416,Special Assessments,390,Expense,2017
1013,300,Debt Service Fund,BU740048,87,3,Department of Finance,5,Other Expenditures,520,Debt Service,5200,Principal - G.O.,300095,Debt Service Fund,35043003,Expense,2017
1014,300,Debt Service Fund,BU740048,88,3,Department of Finance,5,Other Expenditures,520,Debt Service,5201,Principal - S.A.,300095,Debt Service Fund,21182574,Expense,2017
1015,300,Debt Service Fund,BU740048,89,3,Department of Finance,5,Other Expenditures,520,Debt Service,5203,Interest - G.O.,300095,Debt Service Fund,10015665,Expense,2017
1016,300,Debt Service Fund,BU740048,90,3,Department of Finance,5,Other Expenditures,520,Debt Service,5204,Interest - S.A.,300095,Debt Service Fund,7333854,Expense,2017
1017,300,Debt Service Fund,BU740048,91,3,Department of Finance,5,Other Expenditures,520,Debt Service,5206,Bond insurance expenditures,300095,Debt Service Fund,813379,Expense,2017
1018,300,Debt Service Fund,BU740048,92,3,Department of Finance,5,Other Expenditures,520,Debt Service,5208,Interest - temporary notes payment,300095,Debt Service Fund,22000000,Expense,2017
1019,100,General Fund,BU740048,93,4,Law Department,1,Personnel Services,110,Regular Salaries,1100,Bi-weekly wages,40006,City Attorneys Office,1262310,Expense,2017
1020,100,General Fund,BU740048,94,4,Law Department,1,Personnel Services,110,Regular Salaries,1101,Longevity,40006,City Attorneys Office,7332,Expense,2017
1021,100,General Fund,BU740048,95,4,Law Department,1,Personnel Services,110,Regular Salaries,1190,Accrual,40006,City Attorneys Office,6581,Expense,2017
1022,600,Information Technology Fund,BU740048,96,6,Information Tech/Info Services,2,Contractual Services,270,Equipment Charges,2701,Motor pool-unscheduled charges,60002,It/Is Gis,20,Expense,2017
1023,600,Information Technology Fund,BU740048,97,6,Information Tech/Info Services,2,Contractual Services,290,Other Contractuals,2917,Printing and copying,60002,It/Is Gis,300,Expense,2017
