OBJECTID,fund,fund_title,cur_doc_no,cur_doc_no_sfx,dept,dept_title,obj_lvl_1,obj_lvl_1_title,obj_lvl_2,obj_lvl_2_title,obj_lvl_3,obj_lvl_3_title,org_cost_acct,oca_title,appropriation_amt
1001,620,Self Insurance Fund,BU740048,75,3,Department of Finance,2,Contractual services,250,Professional services,2506,Legal services,36202,Self Insurance Workers Comp,80840
1002,620,Self Insurance Fund,BU740048,76,3,Department of Finance,2,Contractual services,250,Professional services,2507,Audits,36202,Self Insurance Workers Comp,7000
1003,620,Self Insurance Fund,BU740048,77,3,Department of Finance,2,Contractual services,250,Professional services,2519,Background checks,36202,Self Insurance Workers Comp,50
1004,620,Self Insurance Fund,BU740048,78,3,Department of Finance,2,Contractual services,250,Professional services,2599,Other professional services,36202,Self Insurance Workers Comp,96000
1005,620,Self Insurance Fund,BU740048,79,3,Department of Finance,2,Contractual services,260,Data processing,2600,Data center charges,36202,Self Insurance Workers Comp,3847
1006,620,Self Insurance Fund,BU740048,80,3,Department of Finance,2,Contractual services,290,Other contractuals,2900,City administrative charges,36202,Self Insurance Workers Comp,30905
1007,620,Self Insurance Fund,BU740048,81,3,Department of Finance,2,Contractual services,290,Other contractuals,2902,Advertising,36202,Self Insurance Workers Comp,25
1008,620,Self Insurance Fund,BU740048,82,3,Department of Finance,2,Contractual services,290,Other contractuals,2905,Periodicals/Subscriptions,36202,Self Insurance Workers Comp,425
1009,100,General Fund,BU740048,83,3,Department of Finance,2,Contractual services,290,Other contractuals,2909,Recording costs,37416,Special Assessments,1216
1010,100,General Fund,BU740048,84,3,Department of Finance,2,Contractual services,290,Other contractuals,2917,Printing and copying,37416,Special Assessments,3100
1011,100,General Fund,BU740048,85,3,Department of Finance,3,Materials and supplies,310,Office supplies,3103,Office supplies,37416,Special Assessments,1100
1034,600,Information Technology Fund,BU740049,8,6,Information Tech/Info Services,1,Personnel services,140,Employee benefits,1403,Workers compensation,60003,IT/IS Service Desk,5855
1012,100,General Fund,BU740048,86,3,Department of Finance,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3805,Furniture & equipment <$5000 each,37416,Special Assessments,390
1013,300,Debt Service Fund,BU740048,87,3,Department of Finance,5,Other expenditures,520,Debt service,5200,Principal - G.O.,300095,Debt Service Fund,35043003
1014,300,Debt Service Fund,BU740048,88,3,Department of Finance,5,Other expenditures,520,Debt service,5201,Principal - S.A.,300095,Debt Service Fund,21182574
1015,300,Debt Service Fund,BU740048,89,3,Department of Finance,5,Other expenditures,520,Debt service,5203,Interest - G.O.,300095,Debt Service Fund,10015665
1016,300,Debt Service Fund,BU740048,90,3,Department of Finance,5,Other expenditures,520,Debt service,5204,Interest - S.A.,300095,Debt Service Fund,7333854
1017,300,Debt Service Fund,BU740048,91,3,Department of Finance,5,Other expenditures,520,Debt service,5206,Bond insurance expenditures,300095,Debt Service Fund,813379
1018,300,Debt Service Fund,BU740048,92,3,Department of Finance,5,Other expenditures,520,Debt service,5208,Interest - temporary notes payment,300095,Debt Service Fund,22000000
1019,100,General Fund,BU740048,93,4,Law Department,1,Personnel services,110,Regular salaries,1100,Bi-weekly wages,40006,City attorneys office,1262310
1020,100,General Fund,BU740048,94,4,Law Department,1,Personnel services,110,Regular salaries,1101,Longevity,40006,City attorneys office,7332
1021,100,General Fund,BU740048,95,4,Law Department,1,Personnel services,110,Regular salaries,1190,Accrual,40006,City attorneys office,6581
1022,600,Information Technology Fund,BU740048,96,6,Information Tech/Info Services,2,Contractual services,270,Equipment charges,2701,Motor pool-unscheduled charges,60002,IT/IS GIS,20
1023,600,Information Technology Fund,BU740048,97,6,Information Tech/Info Services,2,Contractual services,290,Other contractuals,2917,Printing and copying,60002,IT/IS GIS,300
1024,600,Information Technology Fund,BU740048,98,6,Information Tech/Info Services,3,Materials and supplies,310,Office supplies,3101,Computer/printer supplies,60002,IT/IS GIS,200
1025,600,Information Technology Fund,BU740048,99,6,Information Tech/Info Services,3,Materials and supplies,310,Office supplies,3103,Office supplies,60002,IT/IS GIS,500
1026,600,Information Technology Fund,BU740048,100,6,Information Tech/Info Services,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3804,"Data processing equipment  < $5,000 each",60002,IT/IS GIS,500
1027,600,Information Technology Fund,BU740049,1,6,Information Tech/Info Services,1,Personnel services,110,Regular salaries,1100,Bi-weekly wages,60003,IT/IS Service Desk,595504
1028,600,Information Technology Fund,BU740049,2,6,Information Tech/Info Services,1,Personnel services,110,Regular salaries,1101,Longevity,60003,IT/IS Service Desk,4656
1029,600,Information Technology Fund,BU740049,3,6,Information Tech/Info Services,1,Personnel services,110,Regular salaries,1190,Accrual,60003,IT/IS Service Desk,2002
1030,600,Information Technology Fund,BU740049,4,6,Information Tech/Info Services,1,Personnel services,120,Special salaries,1200,Part time/seasonal,60003,IT/IS Service Desk,57730
1031,600,Information Technology Fund,BU740049,5,6,Information Tech/Info Services,1,Personnel services,120,Special salaries,1208,Cellular phone allowance,60003,IT/IS Service Desk,600
1032,600,Information Technology Fund,BU740049,6,6,Information Tech/Info Services,1,Personnel services,140,Employee benefits,1400,FICA,60003,IT/IS Service Desk,50329
1033,600,Information Technology Fund,BU740049,7,6,Information Tech/Info Services,1,Personnel services,140,Employee benefits,1401,Employee pension,60003,IT/IS Service Desk,73820
1035,600,Information Technology Fund,BU740049,9,6,Information Tech/Info Services,1,Personnel services,140,Employee benefits,1404,Unemployment compensation,60003,IT/IS Service Desk,1316
1036,600,Information Technology Fund,BU740049,10,6,Information Tech/Info Services,1,Personnel services,140,Employee benefits,1405,Group health insurance,60003,IT/IS Service Desk,124587
1037,600,Information Technology Fund,BU740049,11,6,Information Tech/Info Services,1,Personnel services,140,Employee benefits,1406,Group life insurance,60003,IT/IS Service Desk,2382
